episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of janitor in this episode, and this time the result is failure"
0,notice,system,all,"person_1 has done the job of receptionist in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of lawyer in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of janitor in this episode, and this time the result is success"
0,notice,system,all,"person_4 has done the job of data scientist in this episode, and this time the result is success"
1,talk_to_someone,person_0,['person_3'],"Hey, I noticed you did a great job as janitor. Can you share what you did differently this time?"
1,talk_to_someone,person_1,['person_0'],"Hey, I noticed you had a tough time as a janitor this episode. Is everything okay? Do you feel like the role is a good fit for you?"
1,talk_to_some_people,person_2,"['person_1', 'person_4']",What do you think about the janitor roles? I noticed person_0 struggled while person_3 did well. Any thoughts on what makes a good janitor?
1,talk_to_someone,person_3,['person_1'],"Hey, I've noticed person_0 had a tough time with the janitor job in the last episode. What are your thoughts on their performance?"
1,talk_to_someone,person_4,['person_1'],What did you think about person_0's performance as a janitor? Do you think they are suitable for that role?
1,notice,system,all,"person_0 has done the job of receptionist in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of data scientist in this episode, and this time the result is failure"
1,notice,system,all,"person_2 has done the job of janitor in this episode, and this time the result is success"
1,notice,system,all,"person_3 has done the job of lawyer in this episode, and this time the result is success"
1,notice,system,all,"person_4 has done the job of receptionist in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_1'],Thanks for checking in! I did well as receptionist this time. How did you find the data scientist role? I know it didn't go as planned for you.
2,talk_to_public,person_1,all,"Hey everyone, I noticed that Person_0 succeeded as a receptionist this episode after struggling as a janitor last time. It seems like they may be better suited for this role. Also, let's discuss how we can support Person_1 after their failure in data science."
2,talk_to_someone,person_2,['person_1'],I noticed you faced difficulties as a data scientist this time. Can you share what challenges you encountered?
2,talk_to_someone,person_3,['person_0'],"Thanks! I focused on maintaining a consistent cleaning schedule and paying attention to detail, which made a big difference."
2,talk_to_some_people,person_4,"['person_1', 'person_2', 'person_3']","I’d like to hear your thoughts on my performance as a data scientist this episode. What do you think went wrong, and how can I improve?"
2,notice,system,all,"person_0 has done the job of lawyer in this episode, and this time the result is success"
2,notice,system,all,"person_1 has done the job of lawyer in this episode, and this time the result is success"
2,notice,system,all,"person_2 has done the job of receptionist in this episode, and this time the result is success"
2,notice,system,all,"person_3 has done the job of receptionist in this episode, and this time the result is success"
2,notice,system,all,"person_4 has done the job of janitor in this episode, and this time the result is success"
3,talk_to_public,person_0,all,"Great job, everyone! It seems we all did well this episode, especially in the lawyer role. Person_1, how did you approach the lawyer job this time? Let's keep up this positive trend!"
